smiles,solubility,logp
c1ccccc1c2cc(Cl)ccc2,-4.880000,4.400000
O=N(=O)c(c(ccc1)C)c1,-2.330000,2.360000
CC(O)CCC(C)C,-1.380000,2.170000
c1c(CC3)c2c(C3)ccc(CC4)c2c(C4)c1,-5.960000,6.120000
Cc1cccc(C)n1,0.450000,1.900000
C=CC#N,0.150000,0.210000
C1=CC(=O)N2CC(C3)CNCC3C2=C1,0.360000,0.600000
OC(CCCCCC)C,-2.090000,2.730000
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.520000,2.000000
COc1ccc2COC(=O)c2c1OC,-1.890000,0.360000
c1cc(N)ccc1S(=O)(=O)Nc2nccs2,-2.430000,0.720000
OCC(O)C(O)C(O)C(O)CO,1.090000,-3.010000
OC(=O)CC(C)(C(=O)O)C(C)(C)C(=O)O,-0.290000,0.240000
c1ccccc1CCO,-0.740000,1.570000
CCCCCCCC=C,-5.050000,4.620000
Cc1cc2cc3ccccc3cc2cc1,-6.960000,4.890000
O=C1C=C2CCC3C4CCC(O)(C(=O)COC(=O)C(C)(C)C)C4(C)CC(O)C3C2(C)C=C1,-4.580000,3.500000
c1ccccc1Cc2ccccc2,-4.170000,4.020000
O=C(NC(=O)c1cccc2)c12,-2.610000,1.300000
N(c(c(S1)cc(c2)C)c2)=C1c(ccc(N)c3)c3,-3.680000,3.560000
COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C,-1.600000,1.700000
c1ccc2c(c1)cnc3ccccc23,-2.780000,3.320000
OCCC(C)C,-0.520000,1.260000
CCCCS,-2.180000,2.250000
CCCCCCOC(=O)c1ccc(N)cc1,-3.950000,3.760000
C1C(CCC)CCC1,-4.740000,4.080000
CCCCCCO,-1.240000,1.820000
s1cccc1,-1.450000,1.810000
O=C(OC)c(c(ccc1)C(=O)OC)c1,-1.660000,1.660000
O=C(O)CCc(cccc1)c1,-1.410000,2.290000
CC(=O)C(CCC)C(=O)C,-0.880000,1.450000
C1=C(C)C(=O)NC(=O)N1,-1.520000,-0.320000
ClC(Cl)(Cl)C,-2.000000,2.680000
OC(c1ccccc1)C,-0.920000,1.490000
C1=CC(=O)C=C2CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C3(F)C12C,-3.770000,1.940000
O=C(C(C(C1C2)(C)C)(C2)C)C1,-1.990000,2.340000
O=C(O)c(ccc(O)c1)c1,-1.410000,1.390000
ClCCS(=O)CCCl,-1.160000,0.270000
CC(O)C(C)CC,-0.720000,1.680000
BrCCBr,-1.680000,2.010000
c1cc(Cl)cc(Cl)c1c2c(Cl)cc(Cl)cc2,-6.510000,6.340000
[nH](c(c(c1cccc2)ccc3)c3)c12,-4.970000,3.230000
c1ccc2c3ccccc3c4ccccc4c2c1,-6.740000,5.520000
CCCC(=O)O,-0.190000,1.070000
O=C(O)CCCC(=O)O,1.000000,-0.260000
ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl,-6.510000,5.870000
ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O,-5.400000,3.420000
CN(C)C2C1CC4C(=C(O)C1(O)C(=O)C(=C2O)C(N)=O)C(=O)c3c(O)cccc3C4(C)O,-3.120000,-1.330000
c1cc(C)c(C)cn1,0.360000,1.900000
CN(C)C(=O)NC1CCCCCCC1,-2.360000,2.840000
CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,-5.470000,5.550000
c1cccc(Cl)c1Cl,-3.050000,3.280000
OC(=O)COc1ccccc1Cl,-2.160000,1.970000
c1cnc2cnc(OC)nc2n1,-1.110000,0.040000
O=C(OCCCC)c(cccc1)c1,-3.480000,3.300000
CC34CCC1C(CCC2=CC(=O)CCC12)C3CCC4(O)C#C,-4.570000,2.990000
CC13CCC(=O)C=C1CCC4C2CCC(O)(C(=O)CO)C2(C)CC(=O)C34,-3.110000,1.810000
c1ccc2c(C)cccc2c1C,-4.740000,4.260000
O=CC=CC,0.320000,0.600000
O=C(OC)CCCCCCCCC,-4.630000,4.300000
OC(c(cccc1)c1)c(cccc2)c2,-2.550000,2.710000
c1ccccc1C(=C)C(=O)O,-2.060000,2.210000
c1ccccc1Nc2ccccc2,-3.510000,3.290000
CC(C)C(C)(O)CC,-0.850000,2.130000
O=C(NCC(=O)O)c(cccc1)c1,-1.680000,0.460000
CCC(C)(C)C,-3.550000,3.180000
c1ccc2cc[nH]c2c1,-1.520000,2.050000
c1ccc(Cl)cc1Cl,-3.040000,3.280000
O=N(=O)c(ccc(Oc(c(cc(c1)Cl)Cl)c1)c2)c2,-5.460000,4.320000
CN(C)C(=O)Nc2ccc(Oc1ccc(Cl)cc1)cc2,-4.890000,4.080000
N#CCC=CC,-0.960000,1.110000
CC(O)(C)CCCCC,-1.720000,2.690000
O(C(C(O)C(O)C1O)CO)C1Oc(c(ccc2)CO)c2,-0.850000,-1.410000
CCCCCl,-2.030000,2.560000
c1ccc2Sc3ccc(C(#N))cc3N(CCCN4CCC(O)CC4)c2c1,-3.980000,3.930000
c1cc(C)ccc1C(=O)O,-2.600000,2.420000
N(N)c(cccc1)c1,0.070000,0.790000
CCCCCBr,-3.070000,3.140000
O=C(Nc(cccc1)c1)C,-1.330000,1.100000
O(c(c(O)ccc1)c1)C,-1.960000,1.340000
O=S(=O)(N)c(c(ccc1)C)c1,-2.020000,0.920000
OC(CCC(C1)C)C1,-0.880000,2.050000
c1ccccc1CN,-1.530000,1.070000
c1ccc4c(c1)ccc5c2cccc3cccc(c23)c45,-8.000000,6.110000
O=S(=O)(N)c(ccc(c1)C)c1,-1.740000,0.920000
CC1=C(CCCO1)C(=O)Nc2ccccc2,-2.560000,2.080000
O=P(Oc1ccc(O)cc1C)(Oc2cc(O)ccc2C)Oc3c(O)cccc3C,-6.700000,4.900000
c1ccccc1CO,-0.400000,1.080000
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-6.180000,5.450000
O=N(=O)c(ccc(N)c1)c1,-2.370000,1.470000
O=C(OC)c(ccc(O)c1)c1,-1.780000,2.000000
c1ccc2ccccc2c1Br,-4.350000,4.060000
OC1C(O)C(O)C(O)C(O)C1O,0.350000,-2.080000
CC1=C(SCCO1)C(=O)Nc2ccccc2,-3.140000,1.490000
N#CCCCl,-0.290000,0.600000
NC(=S)Nc(cccc1)c1,-1.770000,0.950000
Cc1occc1C(=O)Nc2ccccc2,-3.300000,2.620000
CCCCC(O)CC,-1.470000,2.240000
c1ccccc1C(CC)(C)C,-4.150000,4.390000
O=C(OCC(C)C)c(c(ccc1)C(=O)OCC(C)C)c1,-4.660000,4.460000
c1c(Cl)ccc(Cl)c1c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-8.940000,8.270000
NC(=O)OCCCCCCC,-2.620000,2.440000
c1ccccc1NCC,-1.700000,2.110000
c1ccc(N)cc1C(=O)C,-1.280000,0.760000
c1ccc(C)cc1C,-2.820000,3.090000
O=C(N)CCl,-0.020000,-0.580000
O=C(OCC)CCCC,-1.750000,2.340000
CC1CCC(C)CC1,-4.470000,4.010000
O=C(O)C(O)(c(cccc1)c1)c(cccc2)c2,-2.210000,2.240000
c1c(O)cc2CC=C3C4CCC(=O)C4(C)CCC3c2c1,-5.280000,3.350000
O=C1NCCN1c2ncc(s2)N(=O)=O,-3.220000,1.170000
O=C(OC(C)C)C,-0.550000,1.280000
OCCCCCCCC,-2.390000,2.810000
O=C(O)C(N)CC(N=CN1)=C1,-0.530000,-3.220000
OC(C(C)C)C,-0.200000,1.190000
OC(c(cccc1)c1)Cc(cccc2)c2,-2.520000,3.200000
c1ccc2c(c1)ccc3ncccc23,-3.360000,3.320000
C1CN(CCC2=CC=CS2)CCC1(COC)N(C(=O)CC)c3ccccc3,-3.710000,3.620000
O=C1N(c2ccccc2)N(C)C(C)=C1N,-0.620000,-0.070000
c1cc(OCCCC)ccc1C(=O)OCCN(CC)CC,-3.840000,4.060000
NC(=O)OCCCCC,-1.470000,1.450000
OC(=O)c1ccccc1Nc2cc(C(F)(F)F)ccc2,-4.360000,5.150000
O=C(O)c(c(c(N)cc1Cl)Cl)c1,-2.470000,1.900000
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.670000,4.030000
c1ccc2c3cc4ccccc4cc3Cc2c1,-8.040000,5.190000
O=C(O)C=CC(N=CN1)=C1,-1.960000,0.140000
CC(=O)Oc1c(N(=O)(=O))c(C)c(N(=O)(=O))cc1C(C)(C)C,-4.470000,3.680000
O=C(O)COc(ccc(c1)Cl)c1,-2.290000,1.970000
CCC(N)C(=O)O,0.310000,-2.500000
CNC(=O)Oc1ccccc1C2OCCO2,-1.570000,0.250000
c1cc(N)ccc1S(=O)(=O)Nc2ncc(OC)cn2,-2.580000,-0.260000
O=P(OCC)(OCC)OCC,0.430000,0.870000
OCC1C(O)C(O)C(O)C(O)O1,0.740000,-2.890000
c1cccc(Cl)c1c2c(Cl)cccc2,-5.270000,5.050000
CCC1(CCC(=O)NC1=O)c2ccccc2,-2.340000,1.740000
o1c(N(=O)(=O))ccc1C=NO,-2.190000,0.550000
OC(C#C)(C(C(C(C(c(c(cc(O)c1)C2)c1)C3)C2)C4)(C3)C)C4,-4.300000,4.120000
c1cc(N)ccc1S(=O)(=O)NC(=N)N,-1.990000,-1.070000
CN(C)CCCN2c1ccccc1Sc3ccc(C(F)(F)F)cc23,-5.300000,5.520000
Nc(ccc(c1)Cc(ccc(N)c2)c2)c1,-2.300000,2.180000
COc2ccc(CC1NCC(O)C1OC(C)=O)cc2,-1.610000,0.610000
c1c(C(F)(F)F)cccc1N2C(=O)C(Cl)=C(NC)C=N2,-4.040000,2.190000
c1cc(Br)ccc1C,-3.190000,3.430000
O=C1NCCN1C(=O)NCC(C)C,-2.150000,1.030000
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc3cccc(Oc2ccccc2)c3,-6.290000,7.430000
O=C(O)C(N)CCSC,-0.420000,-2.410000
CCCCCCl,-2.730000,3.050000
c1ccc2c(C)c[nH]c2c1,-2.420000,2.600000
CCOP(=S)(OCC)SCSCC,-4.110000,3.370000
BrCC(Br)CCl,-2.380000,2.680000
O=C(Nc(c(ccc1)C)c1C)C(N(CCC2)C)C2,-1.550000,1.960000
c1cc(Cl)c(Cl)cc1c2c(Cl)cc(Cl)c(Cl)c2,-7.390000,6.980000
O(c(ccc(c1)C=CC)c1)C,-3.130000,3.390000
O=C(OCC(CCCC)CC)c(c(ccc1)C(=O)OCC(CCCC)CC)c1,-6.960000,8.390000
Oc(c(c(ccc1)cc2)c1)c2,-2.220000,2.690000
O=C(c(ccc(N)c1)c1)C,-1.610000,0.740000
O=CC=C,0.570000,0.190000
c1ccc2C(=O)N(C(CCl)SP(=S)(OCC)OCC)C(=O)c2c1,-6.340000,4.140000
O=COC,0.580000,-0.170000
O=C1C(C)CCC(C(C)=C)C1,-2.180000,2.860000
CCCCCCCCl,-3.990000,4.030000
c1cc(Br)ccc1Br,-4.070000,3.770000
O=Cc(c(O)ccc1)c1,-0.860000,2.010000
O=C(NC(C(O)c(ccc(N(=O)=O)c1)c1)CO)C(Cl)Cl,-2.110000,0.920000
O=C(OC)CCCCCCC,-3.390000,3.320000
c1c(S(=O)(=O)N)c(Cl)cc(O)c1C(=O)Nc2c(C)cccc2C,-3.790000,2.290000
CCCCCCC=C,-4.440000,4.130000
S(c(cccc1)c1)C,-2.390000,2.590000
C1CCN2CC(C3)C4CCCCN4CC3C2C1,-1.890000,3.410000
o(c(c(c1cccc2)ccc3)c3)c12,-4.600000,3.710000
c1ccc(C)c(C)n1,0.380000,1.900000
CCCCC=O,-0.850000,1.310000
O=C(O)c(cccc1Cl)c1,-2.590000,2.520000
O=C(O)C(C(C(C(=O)O)C1)(C)C)(C1)C,-1.420000,1.780000
O=C(O)CCCCCCC,-2.300000,3.030000
CCCOCCC,-1.620000,2.030000
Oc(cc(c(c1C)Cl)C)c1,-2.800000,3.250000
O=C(OC)c(ccc(N)c1)c1,-1.590000,1.310000
c1cnc2c(C)ncnc2n1,-0.120000,-0.390000
CCNc1nc(NC(C)C)nc(SC)n1,-3.040000,3.320000
Oc(c(ccc1)C)c1C,-1.310000,2.610000
c1ccc2C(O)N3CCC(O)C3=Nc2c1,-2.070000,-0.490000
O=C(OCC)c(cccc1)c1,-2.320000,2.320000
O=C(O)c(ccc(O)c1OC)c1,-2.050000,1.220000
NS(=O)(=O)c1c(Cl)cc2N=CNS(=O)(=O)c2c1,-3.050000,-0.230000
c1cc(Cl)cc(Cl)c1Cl,-3.590000,3.930000
c1ccccc1F,-1.800000,2.190000
O=C(NC(=O)C1=O)N1,-0.400000,-0.540000
CC1(C)CC(C)CC1,-4.480000,3.970000
C1=CC(=O)NC(=O)N1,-1.480000,-0.870000
O=C(CCC)CCC,-1.300000,1.730000
O=C(OCC)c(c(ccc1)C(=O)OCC)c1,-2.350000,2.650000
c1cc(N)ccc1S(=O)(=O)Nc2nc(C)nc(C)c2,-2.240000,0.760000
O=C(CC(C)C)C,-1.420000,1.160000
CN1C2CC(CC1C3OC23)OC(=O)C(CO)c4ccccc4,-0.480000,0.390000
CCC1NC(=O)NC1(=O),-0.060000,-0.230000
O=C(N(S(=O)(=O)Nc1cccc2)C(C)C)c12,-2.680000,1.670000
O=C(N(c(cccc1)c1)C)C,-0.950000,0.930000
O=C(OCC)C=Cc(cccc1)c1,-3.000000,2.850000
CC(C)=CC3C(C(=O)OCc2cccc(Oc1ccccc1)c2)C3(C)C,-5.240000,7.540000
CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O,-3.780000,1.840000
C1(C)=CSC=C1,-2.390000,2.360000
O=C(N(CCCC1)C1)C=CC=Cc(ccc(OCO2)c23)c3,-3.460000,3.690000
C1CCCCN1c2nc(N)n(=O)c(N)c2,-1.980000,1.350000
s1c(N)ncc1,-0.360000,0.830000
NC(Cc2cc(I)c(Oc1ccc(O)c(I)c1)c(I)c2)C(O)=O,-5.220000,2.960000
ClC=CCl,-1.300000,1.980000
O=C(OC)CCCC,-1.360000,1.850000
CCCCC(O)(C)C,-1.080000,2.170000
c1cc(C)ccc1C,-2.770000,3.090000
CCCCCCCC,-5.240000,4.270000
COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,-4.820000,3.680000
O=C(NC1C2C3CCCC3C(C1)C2)N(C)C,-3.010000,2.620000
COP(=S)(OC)Oc1ccc(cc1)N(=O)=O,-3.680000,2.750000
ClC1=C(Cl)C(Cl)(C2(Cl)Cl)C3CC=CC3C12Cl,-5.640000,6.030000
CCCCCC#C,-3.010000,3.010000
CCCCCCBr,-3.810000,3.630000
O[Sn](C1CCCCC1)(C2CCCCC2)C3CCCCC3,-5.590000,6.630000
CC(CCC(O)=O)C3CCC4C2C(O)CC1CC(O)CCC1(C)C2CCC34C,-3.640000,5.060000
N(CCCC1)(C1)C,0.230000,1.400000
Cc1c(C)cc2N=C3C(=O)NC(=O)N=C3N(CC(O)C(O)C(O)CO)c2c1,-3.680000,-1.050000
O=C(OCC(C)C)C=C,-1.210000,2.130000
Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2,-3.800000,4.240000
N(CCCC1)C1,1.070000,1.190000
c1cc(C)cc(C)n1,0.380000,1.900000
O=C(O)C(=C)C,0.010000,0.990000
OC(CCC)(C)C,-0.490000,1.710000
O=C(N)N(CC)N=O,-0.960000,-0.020000
CC(C)CBr,-2.430000,2.580000
CC1=C(Cl)C(=O)N(C(C)(C)C)C(=O)N1,-2.480000,1.750000
CC1=CC(=O)c2c(OC)c3ccoc3c(OC)c2O1,-2.400000,3.000000
O=NN(CCCC1)C1,-0.170000,0.720000
n(ccc(n1)O)c1S,-2.260000,0.900000
OC(CC)(CC)CC,-0.850000,2.200000
c1ccccc1Oc2ccccc2,-3.960000,4.050000
O=C(OCC)C=C,-0.740000,1.220000
OCC(C)C,0.040000,0.760000
CC(O)(C)C(C)C,-0.410000,1.640000
O=C(OC)c(c(c(N)cc1Cl)Cl)c1,-3.260000,2.600000
CCCCCCCOC(=O)c1ccc(N)cc1,-4.600000,4.250000
O=N(=O)c(c(O)ccc1)c1,-1.740000,1.910000
c1cc(F)ccc1CCl,-2.540000,2.990000
O(C(OC(C1O)C(O)CO)C1O2)C2C(Cl)(Cl)Cl,-1.840000,0.680000
ClC(=C(c1ccccc1Cl)c2ccc(cc2)Cl)Cl,-6.360000,6.000000
c1c(F)c(F)cc(F)c1F,-2.380000,2.790000
OCC(CCCC)CC,-2.110000,2.730000
c1ccccc1c2c(Cl)cccc2,-4.540000,4.400000
c1ccc(Cl)c(Cl)c1Cl,-4.000000,3.930000
CC(Cl)C,-1.410000,2.000000
O=N(=O)c(cccc1C)c1,-2.440000,2.360000
Oc(cccc1)c1,0.000000,1.510000
Cc1ccc2cc(C)ccc2c1,-4.890000,4.260000
C1CCCC1C,-3.300000,3.100000
c1cc(C)ccc1O,-0.700000,2.060000
CCCCC,-3.180000,2.800000
ClC(Cl)=C(Cl)Cl,-2.540000,2.970000
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.540000,4.750000
n(cccc1CO)c1,0.960000,-0.110000
O=C(O)c(cc(O)c(O)c1O)c1,-1.160000,0.860000
OC(=O)c1cccnc1Nc2cc(C(F)(F)F)ccc2,-4.170000,4.600000
OC(CC)(CC)C,-0.380000,1.710000
CN(C)CCC=C2c1ccccc1CCc3ccccc23,-4.460000,4.950000
c1ccc2N(C)C3C4CC5C(CC)C(O)N4C(C56)CC3(C6O)c2c1,-2.820000,1.880000
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-5.720000,4.860000
O=C(OC(C)(C)C)N,0.100000,0.850000
OCCCCCCC,-1.810000,2.310000
ClC(Cl)Cl,-1.170000,1.520000
O=C(OC(C(C(C=CC1=O)(CC2)C)=C1C)C23)C3C,-3.090000,1.780000
C=CCBr,-1.500000,2.020000
o(c(c(n1)ccc2)c2)c1,-1.160000,1.720000
O=NN(c(cccc1)c1)c(cccc2)c2,-3.750000,3.160000
c1ccc2ccccc2c1Cl,-3.930000,3.810000
CN2C(=O)ON(c1ccc(Cl)c(Cl)c1)C2=O,-2.820000,3.220000
O=N(=O)OCC(ON(=O)=O)CON(=O)=O,-2.220000,1.510000
c1c(O)cc2CCC3C4CCC(O)C4(C)CCC3c2c1,-4.840000,3.940000
c1cc(N)ccc1S(=O)(=O)Nc2nc(OC)nc(OC)c2,-2.960000,1.170000
C1CCCCCC1,-3.520000,3.670000
O=CCCCCCC,-1.700000,2.290000
OCCOc(cccc1)c1,-0.710000,1.100000
Clc1cc(Cl)c(Cl)c(Cl)c1c2c(Cl)cc(Cl)c(Cl)c2,-7.920000,8.270000
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,-3.570000,3.330000
O=C1NC(=O)NC(=O)C1(CC)C2=CC(C3)CCC3C2,-2.640000,2.680000
O=N(=O)OC(C(OCC1ON(=O)=O)C1O2)C2,-2.630000,0.760000
c1c(Cl)c(Cl)cc(Cl)c1O,-2.210000,3.450000
O=COCC(C)C,-1.010000,1.230000
C3c1ccccc1c4ccc2ccccc2c34,-6.680000,5.190000
Oc(c(ccc1)CC)c1,-1.360000,2.550000
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.200000,4.120000
O=S(=O)(N)c(ccc(N)c1)c1,-1.360000,-0.550000
c1c(C(=O)c3ccccc3)cc2nc(NC(=O)OC)[nH]c2c1,-3.880000,2.710000
CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,-2.090000,1.960000
CNCCCN2c1ccccc1CCc3ccccc23,-3.660000,4.800000
O=C(NCCCC)NS(=O)(=O)c(ccc(c1)C)c1,-3.390000,2.410000
O=C(ON=C(C(C)(C)C)CSC)NC,-1.620000,2.160000
O=C(CCCC)CCCC,-2.590000,2.710000
O=C(O)C=CC=CC,-1.770000,1.620000
OC(c(c(c(nc1)ccc2)c2)c1)C(N(CCC3C4C=C)C4)C3,-3.070000,3.210000
CC(O)(C)CC(C)C,-0.920000,2.130000
c1c(N(=O)(=O))cc2C(c3ccccc3)=NCC(=O)N(C)c2c1,-3.800000,2.270000
Clc1cc(Cl)c(Cl)cc1c2c(Cl)c(Cl)cc(Cl)c2,-8.600000,7.620000
CCCC#C,-1.640000,2.030000
CCCCCCCC#C,-4.240000,3.990000
O=C1C=C2CCC3C4CC5OC(C)(C)OC5(C(=O)CO)C4(C)CC(O)C3(F)C2(C)C=C1,-4.320000,2.690000
CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C,-4.000000,2.140000
O=C(O)c(cccc1)c1,-1.550000,1.870000
COc2ccc1C(OC(=O)c1c2OC)C4N(C)CCc5cc3OCOc3c(OC)c45,-3.140000,1.970000
CNN,1.340000,-1.000000
O=C(Nc(ccc(c1)I)c1)C,-3.250000,2.270000
O=C(O)C(N)C(O)C,-0.090000,-3.040000
O=C(NS(=O)(=O)c1cccc2)c12,-1.640000,0.460000
