smiles,logp,solubility
CCCCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)CO,3.71,-4.71
C(Cc1ccccc1)c2ccccc2,4.51,-4.62
c1ccc(cc1)c2ccccc2,3.62,-4.345
c2ccc1nc(ccc1c2)c4ccc3ccccc3n4,4.71,-5.4
CC1(C)C2CCC1(C)C(O)C2,1.99,-2.32
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,1.69,-2.523
OC(CC(c1ccccc1)c3c(O)c2ccccc2oc3=O)c4ccc(cc4)c5ccc(Br)cc5,6.5,-4.445
Brc1ccccc1,2.74,-2.55
ClCBr,1.13,-0.89
BrC(Cl)Cl,1.98,-1.54
CCBr,1.38,-1.09
CBr,1.02,-0.79
COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,4.64,-6.09
CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c2ccc(Br)cc2,5.01,-4.93
Oc1c(Br)cc(C#N)cc1Br,3.06,-3.33
c1ccccc1n2ncc(N)c(Br)c2(=O),1.27,-3.127
CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C,2.22,-4.16
O=C1NC(=O)NC(=O)C1(CC)C(C)CC,1.45,-2.39
c1(C(C)(C)C)cc(C(C)(C)C)cc(OC(=O)NC)c1,4.56,-4.24
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,4.92,-4.19
CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O,1.83,-2.647
CCCCOC(=O)c1ccc(N)cc1,2.47,-3.082
CCC(C)O,0.78,0.47
CCCC,2.24,-2.57
CCCCS,2.06,-2.18
CCCCC1(CC)C(=O)NC(=O)NC1=O,1.61,-1.661
CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,1.03,-1.877
CC(C#C)N(C)C(=O)Nc1ccc(Cl)cc1,2.57,-3.9
CCCCOC=O,1.2,-1.37
CCSC(=O)N(CC(C)C)CC(C)C,3.53,-3.68
CCCCc1ccccc1,3.82,-4.06
CCCC=O,0.76,-0.01
Cn1cnc2n(C)c(=O)n(C)c(=O)c12,-0.55,-0.876
CC1(C)C2CCC1(C)C(=O)C2,2.55,-1.96
CCCCCC=O,1.65,-1.3
ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O,3.95,-5.4
O=C(Nc1ccccc1)Nc2ccccc2,3.12,-3.15
CNC(=O)Oc1cccc2ccccc12,2.46,-3.224
c1ccc2c(c1)[nH]c3ccccc32,3.09,-5.27
c1c(NC(=O)OC(C)C(=O)NCC)cccc1,1.65,-1.83
CNC(=O)Oc1cccc2CC(C)(C)Oc12,2.05,-2.8
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,4.89,-5.736
CC1=C(SCCO1)C(=O)Nc2ccccc2,1.51,-3.14
CCC(Br)(CC)C(=O)NC(N)=O,1.39,-2.68
c1(O)c(C)ccc(C(C)C)c1,3.43,-2.08
CC(=C)C1CC=C(C)C(=O)C1,2.55,-2.06
OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl,0.08,-1.84
OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)N(=O)=O,0.88,-2.111
CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,3.77,-4.411
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,2.85,-3.924
CC(OC(=O)Nc1cccc(Cl)c1)C#C,3.08,-2.617
ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,5.27,-6.86
ClC2=C(Cl)C3(Cl)C1C=CCC1C2(Cl)C3(Cl)Cl,4.62,-5.64
CN(C)C=Nc1ccc(Cl)cc1C,2.7,-2.86
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,2.2,-4.576
NC(=O)CCl,-0.49,-0.02
ClCC#N,0.37,-0.092
Clc1ccccc1,2.58,-2.38
ClC(Br)Br,2.13,-1.9
ClCC,1.19,-1.06
ClC=C,1.42,-1.75
CC(C)OC(=O)Nc1cccc(Cl)c1,3.21,-3.38
ClC(Cl)(Cl)N(=O)=O,2.47,-2
c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C,4.68,-4.53
c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,4.1,-5.64
NS(=O)(=O)c2cc1c(N=CNS1(=O)=O)cc2Cl,-0.31,-3.05
CN(C)C(=O)Nc1ccc(C)c(Cl)c1,2.44,-3.46
CN(C)C(=O)Nc2ccc(Oc1ccc(Cl)cc1)cc2,3.43,-4.89
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,4.78,-5.67
c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl),3.72,-5.43
NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,1.6,-3.451
CN(C)C(=O)Nc1ccc(C)c(Cl)c1,2.44,-3.483
Clc2ccc1oc(=O)[nH]c1c2,1.94,-2.831
C1Cc2c3c1cccc3cc4c2ccc5ccccc54,5.5,-7.85
c1ccc2c(c1)ccc3c4ccccc4ccc23,4.94,-8.057
Cl\C=C/Cl,1.74,-1.3
C/C1CCCCC1\C,3.24,-4.3
CC/C=C\C,2.32,-2.54
CC(C)=CCCC(C)=CC(=O),2.66,-2.06
CC1(C)CON(Cc2ccccc2Cl)C1=O,2.93,-2.338
Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O,3.15,-3.499
c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,5.94,-9.332
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,2.02,-3.24
CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,1.66,-3.11
CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C,2.1,-4.21
CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,3.35,-5.839
CCOP(=S)(OCC)Oc2ccc1oc(=O)c(Cl)c(C)c1c2,4.15,-5.382
O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2,3.79,-2.84
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,1.96,-3.15
CCSC(=O)N(CC)C1CCCCC1,3.2,-3.4
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2,1.47,-2.17
O=C2NC(=O)C1(CCC1)C(=O)N2,-0.19,-1.655
C1CCCCCC1,3.11,-3.51
OC1CCCCCC1,1.73,-0.88
C1CCC=CCC1,2.75,-3.18
O=C2NC(=O)C1(CCCCCC1)C(=O)N2,1.14,-3.168
C1CCCCC1,2.67,-3.1
OC1CCCCC1,1.28,-0.44
O=C1CCCCC1,1.49,-0.6
C1CCC=CC1,2.31,-2.59
CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2,0.9,-1.13
O=C2NC(=O)C1(CCCCC1)C(=O)N2,0.7,-3.06
C1CCCCCCC1,3.56,-4.15
OC1CCCCCCC1,2.17,-1.29
O=C2NC(=O)C1(CCCCCCC1)C(=O)N2,1.59,-2.982
C1CCCC1,2.22,-2.64
C1CC=CC1,1.86,-2.1
O=C2NC(=O)C1(CCCC1)C(=O)N2,0.25,-2.349
O=C2NC(=O)C1(CC1)C(=O)N2,-0.64,-1.886
CN(C)C(=O)NC1CCCCCCC1,2,-2.218
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,5.59,-7.337
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,5.68,-8.176
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,5.44,-8.017
Nc1cc[nH]c(=O)n1,-1.24,-1.155
CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,3.46,-5.507
Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,1.27,-3.094
ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,6.11,-7.2
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,6.11,-6.9
Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,6.46,-7.15
C1CCC2CCCCC2C1,3.67,-5.19
CCCCSP(=O)(SCCCC)SCCCC,5.57,-5.14
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,5.74,-8.402
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,3.33,-3.45
CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,3.77,-4.63
CCOC(=O)Nc2cccc(OC(=O)Nc1ccccc1)c2,3.7,-4.632
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,1.68,-3.59
CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(=O)COC(C)=O,2.12,-4.9
CC2(C)C1CCC(C)(C1)C2=O,3.06,-1.85
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,8.03,-6.96
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,3.82,-6.34
CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,3.82,-6.34
CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl,3.36,-4.286
CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23,3.08,-3.754
CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,4.19,-3.64
o1c2ccccc2c3ccccc13,3.15,-4.6
c1ccc2c(c1)sc3ccccc23,3.94,-4.38
BrCBr,1.04,-1.17
CCCCOCCCC,2.77,-1.85
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,5.21,-3.896
CCCCOC(=O)c1ccccc1C(=O)OCCCC,4.63,-4.4
COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O,3.21,-4.31
ClCCl,1.29,-0.63
Oc1ccc(Cl)cc1Cc2cc(Cl)ccc2O,4.67,-3.953
OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,5.56,-5.666
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,3.95,-6.29
CC=C(C(=CC)c1ccc(O)cc1)c2ccc(O)cc2,4.83,-4.95
ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,5.13,-7.278
CCOCC,0.84,-0.09
CCOC(=O)c1ccccc1C(=O)OCC,2.69,-2.35
CCSCC,1.73,-1.34
CCSSCC,2.01,-2.42
CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2,5.19,-4.07
COc2ccc(Oc1ccc(NC(=O)N(C)C)cc1)cc2,2.67,-4.16
Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2,3.61,-6.02
CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CCC5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C,3.6,-5.293
CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C,2.37,-4.081
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,6.41,-6.144
ICI,2.48,-2.34
c1(C(=O)OCCCCCC(C)(C))c(C(=O)OCCCCCC(C)(C))cccc1,7.87,-6.637
CC(C)OC(C)C,1.67,-1.1
CC(C)SC(C)C,2.36,-2.24
CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,1.01,0.523
CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,3.44,-4.328
CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,1.27,-0.85
CCCCc1c(C)nc(nc1O)N(C)C,3.11,-2.24
COCOC,0.19,0.48
COC(=O)c1ccccc1C(=O)OC,1.98,-1.66
CSC,1.22,-0.45
CSSC,1.35,-1.44
CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,3.37,-5.47
CCC(C)c1cc(cc(N(=O)=O)c1O)N(=O)=O,3.24,-3.38
OC1C(O)C(O)C(O)C(O)C1O,-3.78,0.35
CCCSCCC,2.77,-2.58
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,8.18,-5.115
C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,4.4,-7.32
CNC(=O)Oc1ccccc1C2OCCO2,1.45,-1.57
CN(C)C(=O)C(c1ccccc1)c2ccccc2,2.93,-2.98
O(c1ccccc1)c2ccccc2,3.47,-3.96
N(c1ccccc1)c2ccccc2,3.41,-3.504
C(c1ccccc1)c2ccccc2,4.07,-4.08
CCCOCCC,1.88,-1.62
CCN(CC)C(=S)SSC(=S)N(CC)CC,4.16,-4.86
CCOP(=S)(OCC)SCCSCC,3.03,-4.23
CCOP(=S)(OCC)N2C(=O)c1ccccc1C2=O,2.48,-3.35
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,2.53,-3.8
CC1=CCC(CC1)C(C)=C,3.22,-4.26
Cc1cc(cc(N(=O)=O)c1O)N(=O)=O,2.06,-1.456
CCOc1ccc(NC(N)=O)cc1,1.08,-2.17
Cn2c(=O)n(C)c1ncn(CC(O)CO)c1c2=O,-1.87,-0.17
CCCCCCCCCCCCCCCCCCCC,9.36,-8.172
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,3.95,-6.18
CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,3.77,-4.16
CC45CCC2C(CCC3CC1SC1CC23C)C4CCC5O,3.82,-5.41
CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,4.3,-5.24
CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,3.9,-5.282
Oc2cc(O)c1C(=O)CC(Oc1c2)c3ccc(O)c(O)c3,2.53,-3.62
OCC(O)C(O)CO,-2.47,0.7
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,3.75,-5.03
c1(OC)ccc(CC=C)cc1,2.91,-2.92
CC34CCC1C(CCc2cc(O)ccc12)C3CC(O)C4O,2.67,-4.955
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1=O,4.31,-3.955
CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,4.17,-6.124
CC,1.35,-1.36
CCS,1.09,-0.6
CCO,-0.16,1.1
CC34CCC1C(CCc2cc(O)ccc12)C3CCC4(O)C#C,3.9,-4.3
CCSCc1ccccc1OC(=O)NC,2.59,-2.09
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,3.93,-5.54
CCCCc1c(C)nc(NCC)[nH]c1=O,1.78,-3.028
CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C,3.52,-5.66
CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,2.34,-3.42
CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,2.34,-3.42
CCOc2ccc1nc(sc1c2)S(N)(=O)=O,1.6,-3.81
CCOC(=O)C,0.28,-0.04
CCOC(=O)c1ccccc1,2.33,-2.32
CCCCCOC(=O)CC,2.39,-1.28
CCOC(=O)C=Cc1ccccc1,2.87,-3
CCCCCCCCCC(=O)OCC,4.09,-4.1
CCOC=O,0.23,0.15
CCCCCCC(=O)OCC,2.76,-2.74
CCCCCC(=O)OCC,2.31,-2.35
CCCCCCCCC(=O)OCC,3.65,-3.8
CCCCCCCC(=O)OCC,3.2,-3.39
CCCOC(=O)CCC,1.95,-1.75
CCOC(=O)CC,0.98,-0.66
CCCOCC,1.36,-0.66
CCOC=C,0.99,-0.85
CCc1ccccc1,2.93,-2.77
CCC1CCCCC1,3.4,-4.25
C=C,1.11,-0.4
CCOC(=O)c1ccc(N)cc1,1.5,-2.1
CCOC(=O)c1ccc(O)cc1,2.03,-2.35
C#C,0.15,0.29
CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,6.3,-8.6
CCOC(=O)c1cncn1C(C)c2ccccc2,2.5,-4.735
COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,1.16,-3.571
CC12CCC(CC1)C(C)(C)O2,2.35,-1.64
COc1cc(CC=C)ccc1O,2.61,-1.56
OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl,3.92,-4.38
Cc1occc1C(=O)Nc2ccccc2,2.4,-3.3
COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,3.12,-4.04
CN(C)C(=O)SCCCCOc1ccccc1,2.91,-3.927
CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2,3.31,-4.7
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,4.85,-6.025
CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O,2.11,-2.3
COP(=S)(OC)Oc1ccc(SC)c(C)c1,3.8,-4.57
CN(C)C(=O)Nc1ccccc1,1.32,-1.6
OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F,0.56,-1.8
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,6.77,-6.876
Nc1nc(=O)[nH]cc1F,-1.04,-0.972
CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO,1.32,-3.43
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,1.34,-5.613
CCN(Cc1c(F)cccc1Cl)c2c(cc(cc2N(=O)=O)C(F)(F)F)N(=O)=O,5.67,-6.78
CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,2.2,-3.43
c1ccc2c(c1)c3cccc4cccc2c34,4.28,-6
C1c2ccccc2c3ccccc13,3.74,-5
Fc1ccccc1,2.12,-1.8
CC1CC2C3CCC(O)(C(=O)C)C3(C)CC(O)C2(F)C4(C)C=CC(=O)C=C14,2.42,-4.099
CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,2.2,-3.32
Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F,4.87,-4.445
FC(F)(F)c1cccc(c1)N2CC(CCl)C(Cl)C2=O,3.25,-4.047
OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,2.6,-3.37
CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,6.98,-8.003
CNC(=O)Oc1cccc(N=CN(C)C)c1,1.08,-2.34
COP(=S)(OC)SCC(=O)N(C)C=O,0.28,-1.995
OCC1OC(O)(CO)C(O)C1O,-2.76,0.64
c1ccoc1,1.11,-0.82
O=Cc1ccco1,0.75,-0.1
c1c(O)C2C(=O)C3cc(O)ccC3OC2cc1(OC),0,-2.943
OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,4.16,-4.571
OCC1OC(O)C(O)C(O)C1O,-2.93,0.74
CCC1(CCC(=O)NC1=O)c2ccccc2,2.13,-2.337
OCC(O)CO,-1.84,1.12
CC(=O)OCC(COC(=O)C)OC(=O)C,-0.52,-0.6
COC1=CC(=O)CC(C)C13Oc2c(Cl)c(OC)cc(OC)c2C3=O,2.17,-3.246
COc1ccccc1O,1.51,-1.96
Nc2nc1[nH]cnc1c(=O)[nH]2,-1.15,-3.583
FC(F)(F)C(Cl)Br,2.12,-1.71
c1cc(O)c(O)c2OCC3(O)CC4=CC(=O)C(O)=CC4=C3c21,0.34,-2.7
ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,4.78,-6.317
CCCCCCC,3.58,-4.53
ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl,3.62,-4.92
ClC(Cl)(Cl)C(Cl)(Cl)Cl,3.32,-3.67
CCCCCCCCCCCCCCCCCCCCCCCCCC,12.02,-8.334
CCCCCCCCCCCCCCCC,7.58,-8.4
Cc1c(C)c(C)c(C)c(C)c1C,5.05,-5.23
CCCCCC,3.13,-3.84
CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,5.37,-4.43
CCCCCCc1ccccc1,4.71,-5.21
O=C1CNC(=O)N1,-1.45,-0.4
N(Nc1ccccc1)c2ccccc2,3.76,-2.92
c1ccccc1C(O)C(O)c2ccccc2,2.36,-1.93
NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2Cl,-0.58,-2.63
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,1.28,-3.09
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,1.72,-4.88
OC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,3.43,-5.46
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,3.4,-3.817
O=c1[nH]cnc2nc[nH]c12,-0.88,-2.296
C1Cc2ccccc2C1,2.98,-3.04
CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O,2.64,-3.586
c2ccc1[nH]ncc1c2,1.3,-2.16
c2ccc1[nH]ccc1c2,2.07,-1.52
c2ccc1NCCc1c2,1.49,-1.04
OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,-1.57,-1.23
Ic1ccccc1,2.9,-3.01
CCI,1.81,-1.6
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,4.8,-6.62
CI,1.56,-1
Oc1c(I)cc(C#N)cc1I,3.38,-3.61
CCN(CC)c1nc(Cl)nc(NC(C)C)n1,3.19,-3.785
CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,3.48,-3.658
CC(C)COC(=O)C,1.17,-1.21
CC(C)COC=O,1.12,-1.01
CC(C)Cc1ccccc1,3.66,-4.12
C1N(C(=O)NCC(C)C)C(=O)NC1,0.04,-2.15
Cc1cc(no1)C(=O)NNCc2ccccc2,1.43,-2.461
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,3.84,-4.194
Nc1nc(O)nc2nc[nH]c12,-0.2,-3.401
c1nccc(C(=O)NN)c1,-0.69,0.009
CC(C)CCOC(=O)C,1.53,-1.92
CC(C)CCOC=O,1.48,-1.52
CC1=CC(=O)CC(C)(C)C1,2.32,-1.06
CNC(=O)Oc1ccccc1C(C)C,2.72,-2.863
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,4.96,-6.49
CC(C)OC(=O)C,0.7,-0.55
CC(C)OC=O,0.65,-0.63
CC(C)c1ccccc1,3.22,-3.27
CC(C)c1ccc(NC(=O)N(C)C)cc1,2.57,-3.536
c1ccc2cnccc2c1,1.75,-1.45
CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,1.88,-2.93
CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,2.7,-3.27
ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,6.35,-5.259
COc2c1occc1c(OC)c3c(=O)cc(C)oc23,1.72,-3.021
OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,-4.7,-0.244
C1OC(O)C(O)C(O)C1O,-2.3,0.39
O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,1.82,-4.594
CC(C)=CCCC(O)(C)C=C,2.65,-1.99
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,4.35,-4.64
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,2.68,-3.592
OC3N=C(c1ccccc1Cl)c2cc(Cl)ccc2NC3=O,3.53,-3.604
CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23,3.9,-6.005
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,1.86,-3.37
CCOC(=O)CC(=O)OCC,0.67,-0.82
OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,-4.7,0.358
